,images,labels
0,data/images/img_001.jpg,data/labels/train/img_001.txt
1,data/images/img_002.jpg,data/labels/train/img_002.txt
2,data/images/img_003.jpg,data/labels/train/img_003.txt
3,data/images/img_004.jpg,data/labels/train/img_004.txt
4,data/images/img_005.jpg,data/labels/train/img_005.txt
5,data/images/img_006.jpg,data/labels/train/img_006.txt
6,data/images/img_007.jpg,data/labels/train/img_007.txt
7,data/images/img_008.jpg,data/labels/train/img_008.txt
8,data/images/img_009.jpg,data/labels/train/img_009.txt
9,data/images/img_010.jpg,data/labels/train/img_010.txt
10,data/images/img_011.jpg,data/labels/train/img_011.txt
11,data/images/img_012.jpg,data/labels/train/img_012.txt
12,data/images/img_013.jpg,data/labels/train/img_013.txt
13,data/images/img_014.jpg,data/labels/train/img_014.txt
14,data/images/img_015.jpg,data/labels/train/img_015.txt
15,data/images/img_016.jpg,data/labels/train/img_016.txt
16,data/images/img_017.jpg,data/labels/train/img_017.txt
17,data/images/img_018.jpg,data/labels/train/img_018.txt
18,data/images/img_019.jpg,data/labels/train/img_019.txt
19,data/images/img_020.jpg,data/labels/train/img_020.txt
